Race,Candidate,Party,Votes,PercentageOfTotalVotes,JurisdictionName
Kittitas Superior Court - Judge Position 1,Candace Hooper,,9918,61.35,Judicial
Kittitas Superior Court - Judge Position 1,Chris Herion,,6249,38.65,Judicial
Kittitas Superior Court - Judge Position 2,Scott R. Sparks,,13392,100,Judicial
"Klickitat, Skamania Superior Court - Judge Position 1",Randall Krog,,10035,100,Judicial
Lewis Superior Court - Judge Position 1,Andrew Toynbee,,22654,100,Judicial
Lewis Superior Court - Judge Position 2,James W. Lawler,,23662,100,Judicial
Lewis Superior Court - Judge Position 3,Joely O'Rourke,,20771,71.55,Judicial
Lewis Superior Court - Judge Position 3,Katherine Gulmert,,8258,28.45,Judicial
Lincoln Superior Court - Judge Position 1,John F. Strohmaier,,4560,100,Judicial
Mason Superior Court - Judge Position 1,Amber Louise Finlay,,19165,100,Judicial
Mason Superior Court - Judge Position 2,Toni A Sheldon,,19210,100,Judicial
Mason Superior Court - Judge Position 3,Daniel L. Goodell,,19185,100,Judicial
Okanogan Superior Court - Judge Position 1,Henry (Hank) Rawson,,12584,100,Judicial
Okanogan Superior Court - Judge Position 2,Chris Culp,,12462,100,Judicial
"Pacific, Wahkiakum Superior Court - Judge Position 1",Douglas E. Goelz,,5743,50.34,Judicial
"Pacific, Wahkiakum Superior Court - Judge Position 1",Michael S. Turner,,5666,49.66,Judicial
Pierce Superior Court - Judge Position 2,Timothy L. Ashcraft,,148544,51.71,Judicial
Pierce Superior Court - Judge Position 2,Katherine M. Stolz,,138735,48.29,Judicial
Pierce Superior Court - Judge Position 5,Dominique L. Jinhong,,106950,37.74,Judicial
Pierce Superior Court - Judge Position 5,Shelly K. Speir,,176432,62.26,Judicial
Pierce Superior Court - Judge Position 8,Grant Blinn,,155706,55.54,Judicial
Pierce Superior Court - Judge Position 8,Dwayne L. Christopher,,124644,44.46,Judicial
Pierce Superior Court - Judge Position 17,Karena Kirkendoll,,149416,52.66,Judicial
Pierce Superior Court - Judge Position 17,Tom Quinlan,,134303,47.34,Judicial
San Juan Superior Court - Judge Position 1,Donald E. Eaton,,7360,100,Judicial
Skagit Superior Court - Judge Position 3,Laura Riquelme,,23697,49.01,Judicial
Skagit Superior Court - Judge Position 3,David A. Svaren,,24652,50.99,Judicial
Snohomish Superior Court - Judge Position 3,Cindy Larsen,,148097,50.98,Judicial
Snohomish Superior Court - Judge Position 3,Rico Tessandore,,142401,49.02,Judicial
Spokane Superior Court - Judge Position 10,Linda Tompkins,,118630,60.56,Judicial
Spokane Superior Court - Judge Position 10,Ward Andrews,,77246,39.44,Judicial
Spokane Superior Court - Judge Position 11,Greg Sypolt,,86594,44.84,Judicial
Spokane Superior Court - Judge Position 11,Tim Fennessy,,106533,55.16,Judicial
Thurston Superior Court - Judge Position 1,Chris Lanese,,56221,50.54,Judicial
Thurston Superior Court - Judge Position 1,Laura M. Murphy,,55011,49.46,Judicial
Thurston Superior Court - Judge Position 7,John C. Skinder,,58984,54.66,Judicial
Thurston Superior Court - Judge Position 7,Jim Foley,,48920,45.34,Judicial
Walla Walla  Superior Court - Judge Position 1,John W. Lohrmann,,19549,100,Judicial
Walla Walla  Superior Court - Judge Position 2,M. Scott Wolfram,,19564,100,Judicial
Whitman Superior Court - Judge Position 1,Gary J. Libey,,12067,100,Judicial
Yakima Superior Court - Judge Position 3,Douglas L. Federspiel,,36606,52.53,Judicial
Yakima Superior Court - Judge Position 3,Alex Newhouse,,33080,47.47,Judicial
